delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.990172,0.992780,0.991019,0.990542
0.250000,0.992171,0.994277,0.992682,0.992340
0.500000,0.995086,0.995158,0.994262,0.993668
0.750000,0.996002,0.996390,0.995759,0.995388
1.000000,0.996835,0.997007,0.996923,0.996717
1.250000,0.997501,0.997711,0.997256,0.997108
1.500000,0.998584,0.998327,0.997921,0.997889
1.750000,0.999001,0.998855,0.998586,0.998906
2.000000,0.999250,0.999208,0.999252,0.999531
2.250000,0.999667,0.999384,0.999584,0.999687
2.500000,0.999750,0.999560,0.999751,0.999765
2.750000,0.999750,0.999648,0.999834,0.999922
3.000000,0.999917,0.999648,0.999834,1.000000
3.250000,0.999917,0.999736,0.999834,1.000000
3.500000,0.999917,0.999824,0.999917,1.000000
3.750000,1.000000,0.999824,0.999917,1.000000
4.000000,1.000000,0.999824,0.999917,1.000000
4.250000,1.000000,0.999824,0.999917,1.000000
4.500000,1.000000,0.999824,0.999917,1.000000
4.750000,1.000000,0.999824,0.999917,1.000000
5.000000,1.000000,0.999824,0.999917,1.000000
